DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
15.0,SÃO JOSÉ DO RIO PRETO,56.00,8,196,30,335,59,587,97,352480,Jales
17.0,TAUBATÉ,20.00,4,53,4,184,53,257,61,352490,Jambeiro
1.0,GRANDE SÃO PAULO,46.00,5,172,12,187,17,405,34,352500,Jandira
13.0,RIBEIRÃO PRETO,506.00,138,744,239,900,367,2150,744,352510,Jardinópolis
7.0,CAMPINAS,27.00,9,109,29,167,42,303,80,352520,Jarinu
6.0,BAURU,482.00,124,1494,366,3370,391,5346,881,352530,Jaú
8.0,FRANCA,8.00,1,54,46,66,64,128,111,352540,Jeriquara
7.0,CAMPINAS,27.00,5,183,37,283,132,493,174,352550,Joanópolis
11.0,PRESIDENTE PRUDENTE,2.00,0,34,0,21,0,57,0,352560,João Ramalho
15.0,SÃO JOSÉ DO RIO PRETO,36.00,9,111,9,172,21,319,39,352570,José Bonifácio
9.0,MARÍLIA,5.00,1,11,3,1,0,17,4,352580,Júlio Mesquita
16.0,SOROCABA,3.00,0,14,0,18,0,35,0,352585,Jumirim
7.0,CAMPINAS,521.00,410,1396,1178,2871,2435,4788,4023,352590,Jundiaí
11.0,PRESIDENTE PRUDENTE,12.00,1,26,6,26,5,64,12,352600,Junqueirópolis
12.0,REGISTRO,4.00,2,61,6,66,15,131,23,352610,Juquiá
1.0,GRANDE SÃO PAULO,7.00,5,46,33,118,83,171,121,352620,Juquitiba
17.0,TAUBATÉ,2.00,0,21,7,218,66,241,73,352630,Lagoinha
6.0,BAURU,17.00,1,45,6,41,23,103,30,352640,Laranjal Paulista
2.0,ARAÇATUBA,6.00,0,30,2,24,3,60,5,352650,Lavínia
17.0,TAUBATÉ,9.00,1,78,22,105,35,192,58,352660,Lavrinhas
10.0,PIRACICABA,111.00,69,597,313,1362,767,2070,1149,352670,Leme
6.0,BAURU,183.00,57,487,118,962,448,1632,623,352680,Lençóis Paulista
10.0,PIRACICABA,944.00,219,2579,433,1732,696,5255,1348,352690,Limeira
7.0,CAMPINAS,6.00,0,51,4,96,16,153,20,352700,Lindóia
6.0,BAURU,136.00,17,231,22,187,19,554,58,352710,Lins
17.0,TAUBATÉ,333.00,146,1404,1095,1251,1184,2988,2425,352720,Lorena
2.0,ARAÇATUBA,6.00,0,20,0,16,3,42,3,352725,Lourdes
7.0,CAMPINAS,34.00,13,134,66,354,230,522,309,352730,Louveira
9.0,MARÍLIA,33.00,3,78,3,49,3,160,9,352740,Lucélia
6.0,BAURU,3.00,3,31,30,18,17,52,50,352750,Lucianópolis
