DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
6,Bauru,0,0,3,2,18,11,2,1,3,2,7,6,4,4,8,3,2,3,2,4,2,1,1,56,41,350430,Avaí
2,Araçatuba,2,1,7,5,90,89,124,121,42,31,30,29,8,8,8,1,1,1,1,0,0,3,3,316,297,350440,Avanhandava
6,Bauru,1,0,8,2,23,4,78,42,100,31,35,7,11,5,2,2,0,3,0,4,0,2,0,283,93,350450,Avaré
15,São José do Rio Preto,82,1,71,4,257,25,577,55,569,25,297,29,119,13,4,53,2,71,4,60,5,86,4,2294,171,350460,Bady Bassitt
6,Bauru,0,0,0,0,1,0,2,0,1,1,1,1,1,0,1,1,0,5,2,2,1,2,0,17,6,350470,Balbinos
15,São José do Rio Preto,7,2,37,26,163,137,231,214,57,49,19,13,8,2,0,3,0,8,2,10,2,3,1,549,448,350480,Bálsamo
17,Taubaté,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5,0,350490,Bananal
6,Bauru,3,0,0,0,15,6,53,40,65,46,5,0,0,0,0,2,1,0,0,0,0,0,0,143,93,350500,Barão de Antonina
2,Araçatuba,11,4,16,4,58,26,152,38,206,1,79,0,49,0,0,12,0,8,0,13,0,17,0,645,73,350510,Barbosa
6,Bauru,0,0,0,0,1,0,10,2,19,9,12,3,4,0,0,4,0,2,0,2,0,3,0,62,14,350520,Bariri
6,Bauru,1,0,4,2,47,24,283,148,212,73,85,19,26,6,0,13,0,12,0,6,0,14,0,715,272,350530,Barra Bonita
16,Sorocaba,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,350535,Barra do Chapéu
12,Registro,2,0,3,1,0,0,4,3,17,3,6,2,5,2,1,0,0,0,0,0,0,0,0,43,12,350540,Barra do Turvo
5,Barretos,59,5,90,17,340,138,1089,658,1173,679,742,224,524,235,29,219,12,201,7,189,7,181,7,5052,2018,350550,Barretos
13,Riberão Preto,55,2,24,6,145,54,334,181,182,83,105,36,49,14,3,31,2,26,0,21,0,13,2,1017,383,350560,Barrinha
1,São Paulo,15,0,19,3,40,9,76,11,140,14,56,5,30,3,0,19,0,23,0,8,0,12,0,451,45,350570,Barueri
9,Marília,2,1,9,1,102,62,395,193,325,248,124,81,50,29,14,12,7,11,1,5,0,27,15,1089,652,350580,Bastos
13,Riberão Preto,0,0,15,10,114,77,475,402,812,561,265,177,76,13,2,12,2,4,0,5,0,7,1,1798,1245,350590,Batatais
6,Bauru,92,26,104,54,784,505,1956,1344,1488,1055,542,331,367,194,138,140,49,125,19,149,36,188,69,6211,3820,350600,Bauru
5,Barretos,11,0,21,6,218,83,504,203,541,180,153,42,62,5,6,9,0,14,1,4,0,4,0,1574,526,350610,Bebedouro
2,Araçatuba,1,1,1,0,7,2,14,10,32,24,20,15,7,6,0,0,0,1,0,0,0,0,0,83,58,350620,Bento de Abreu
9,Marília,1,0,0,0,4,2,10,1,9,2,7,2,9,0,0,3,0,1,0,1,0,1,0,52,7,350630,Bernardino de Campos
4,Baixada Santista,98,3,45,0,47,4,92,18,145,40,194,39,123,19,10,38,2,48,3,52,2,51,4,1014,144,350635,Bertioga
2,Araçatuba,12,7,18,16,84,49,90,75,12,9,5,3,1,1,0,1,0,1,0,2,0,2,1,228,161,350640,Bilac
2,Araçatuba,126,73,447,300,3067,2419,4302,3553,2633,2080,766,586,413,276,92,160,70,144,38,151,35,158,24,12614,9546,350650,Birigui
1,São Paulo,16,2,2,0,11,2,68,27,76,16,33,1,13,1,0,3,0,12,0,7,0,5,0,254,49,350660,Biritiba-Mirim
3,Araraquara,7,0,2,0,66,27,263,130,571,348,301,131,155,41,11,41,5,33,6,60,24,98,32,1659,755,350670,Boa Esperança do Sul
6,Bauru,0,0,2,2,60,53,132,129,114,104,20,17,6,2,0,0,0,3,0,2,1,2,1,342,309,350680,Bocaina
6,Bauru,2,0,1,0,1,0,14,0,8,0,5,1,6,1,0,8,0,1,0,3,0,3,0,55,2,350690,Bofete
16,Sorocaba,17,2,6,1,26,15,61,30,66,21,34,6,26,2,1,16,1,20,1,12,1,13,3,306,84,350700,Boituva
7,Campinas,4,0,0,0,2,1,16,10,37,16,12,7,6,5,5,9,5,4,2,3,3,6,2,107,56,350710,Bom Jesus dos Perdões
16,Sorocaba,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,350715,Bom Sucesso de Itararé
9,Marília,24,16,31,22,19,14,8,7,5,5,1,0,1,0,0,0,0,6,0,0,0,0,0,96,64,350720,Borá
6,Bauru,0,0,0,0,1,0,7,2,10,10,7,5,3,1,0,0,0,0,0,1,0,0,0,29,18,350730,Boracéia
3,Araraquara,15,4,52,28,325,246,857,640,687,492,134,90,16,4,7,4,1,13,6,13,4,7,6,2146,1528,350740,Borborema
6,Bauru,1,0,2,2,38,24,101,75,39,26,3,2,4,2,2,1,0,0,0,2,0,0,0,195,133,350745,Borebi
6,Bauru,20,0,19,1,88,50,216,77,213,72,110,13,65,15,3,66,3,54,3,34,1,46,6,990,244,350750,Botucatu
7,Campinas,11,1,9,1,36,12,192,82,177,85,73,24,39,15,1,21,6,14,4,16,3,7,0,607,234,350760,Bragança Paulista
2,Araçatuba,52,27,84,80,107,104,53,53,27,27,2,2,1,1,0,1,1,1,0,1,0,0,0,329,295,350770,Braúna
2,Araçatuba,3,2,18,6,100,67,72,68,4,1,2,1,1,1,0,1,0,0,0,0,0,0,0,202,146,350775,Brejo Alegre
13,Riberão Preto,5,0,6,0,18,7,56,34,23,8,16,7,13,2,2,5,2,10,2,6,0,7,0,169,64,350780,Brodósqui
6,Bauru,3,0,6,1,30,15,242,120,269,114,105,39,41,19,4,23,5,11,1,11,3,8,0,771,321,350790,Brotas
16,Sorocaba,13,1,13,1,5,0,18,0,27,0,16,1,10,0,0,5,0,0,0,3,0,8,0,122,3,350800,Buri
